#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2022,1,1,0,0,286,13.1,16.2,99,99,99,999,1007.1,13.1,13.3,8.2,99,99
2022,1,1,0,10,274,12.4,15.9,99,99,99,999,1007.3,13,13.3,8.3,99,99
2022,1,1,0,20,268,11.7,14.4,99,99,99,999,1007.4,13,13.3,8.5,99,99
2022,1,1,0,30,270,11.1,14,99,99,99,999,1007.4,13,13.3,8.6,99,99
2022,1,1,0,40,269,10.2,12.7,1.91,7.14,5.12,266,1007.4,12.9,13.3,8.6,99,99
2022,1,1,0,50,275,10.6,14.2,99,99,99,999,1007.1,12.9,13.3,8.4,99,99
2022,1,1,1,0,277,11.1,14.9,99,99,99,999,1007.2,12.8,13.3,8.4,99,99
2022,1,1,1,10,279,11.8,14.9,99,99,99,999,1007.1,12.8,13.3,8.5,99,99
2022,1,1,1,20,288,12.5,15.9,99,99,99,999,1006.8,12.8,13.3,8.5,99,99
2022,1,1,1,30,293,13.8,17.2,99,99,99,999,1006.6,12.7,13.3,8.3,99,99
2022,1,1,1,40,292,14.8,18.4,2.07,6.67,5.19,249,1006.7,12.7,13.3,8.3,99,99
2022,1,1,1,50,293,15.7,18.6,99,99,99,999,1007.1,12.5,13.3,7.9,99,99
2022,1,1,2,0,289,14.8,18.1,99,99,99,999,1007.5,12.5,13.3,8,99,99
2022,1,1,2,10,287,14.1,17.4,99,99,99,999,1007.8,12.5,13.3,7.9,99,99
2022,1,1,2,20,283,13.1,16.3,99,99,99,999,1008.2,12.4,13.3,7.8,99,99
2022,1,1,2,30,280,12.6,15.9,99,99,99,999,1008.3,12.4,13.3,7.7,99,99
2022,1,1,2,40,274,11.1,14,2.02,7.14,5.37,261,1008.4,12.4,13.3,7.7,99,99
2022,1,1,2,50,277,10.7,13.7,99,99,99,999,1008.6,12.5,13.3,7.9,99,99
2022,1,1,3,0,287,10.8,13.7,99,99,99,999,1008.6,12.5,13.3,7.7,99,99
