#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2022,1,1,0,0,300,10.9,14.2,99,99,99,999,1007.8,13.6,15,8.8,99,99
2022,1,1,0,10,298,10.9,13.8,99,99,99,999,1007.8,13.6,15,8.7,99,99
2022,1,1,0,20,291,11,14,99,99,99,999,1007.6,13.6,15,8.8,99,99
2022,1,1,0,30,293,10.8,13.6,99,99,99,999,1007.7,13.6,15,8.7,99,99
2022,1,1,0,40,295,9.8,12.3,2.87,8.33,6.32,292,1007.7,13.6,15,9.1,99,99
2022,1,1,0,50,296,10.8,13.5,99,99,99,999,1007.8,13.6,15,9,99,99
2022,1,1,1,0,290,10.7,13.4,99,99,99,999,1007.9,13.6,15,8.9,99,99
2022,1,1,1,10,291,11.1,14,99,99,99,999,1007.8,13.5,15,8.7,99,99
2022,1,1,1,20,292,11.2,14.3,99,99,99,999,1007.7,13.4,15,8.6,99,99
2022,1,1,1,30,285,11.1,13.9,99,99,99,999,1007.7,13.5,15,8.6,99,99
2022,1,1,1,40,285,10.4,13.4,3.15,8.33,6.48,291,1007.9,13.6,15,9,99,99
2022,1,1,1,50,287,10.6,13.4,99,99,99,999,1008.1,13.6,15,8.7,99,99
2022,1,1,2,0,294,10.1,12.7,99,99,99,999,1008.5,13.6,15,8.8,99,99
2022,1,1,2,10,292,9.7,12.7,99,99,99,999,1008.5,13.6,15,8.6,99,99
2022,1,1,2,20,295,9.9,13.6,99,99,99,999,1008.4,13.6,15,8.6,99,99
2022,1,1,2,30,287,10.7,12.8,99,99,99,999,1008.5,13.5,15,8.2,99,99
2022,1,1,2,40,285,10.1,12.2,2.86,9.09,6.36,283,1008.7,13.5,15,8.3,99,99
2022,1,1,2,50,286,10,12.8,99,99,99,999,1008.9,13.5,15,8.4,99,99
2022,1,1,3,0,288,9.5,12.5,99,99,99,999,1009,13.4,15,8.4,99,99
2022,1,1,3,10,293,9.3,12.3,99,99,99,999,1009.1,13.4,15,8.4,99,99
2022,1,1,3,20,294,9.8,12.4,99,99,99,999,1009.2,13.4,15,8.2,99,99
2022,1,1,3,30,287,9.8,12.2,99,99,99,999,1009.5,13.5,15,8.6,99,99
2022,1,1,3,40,295,10,12.1,2.82,9.09,6.47,301,1009.6,13.4,15,8.4,99,99
2022,1,1,3,50,297,9.7,11.8,99,99,99,999,1009.5,13.4,15,8.4,99,99
2022,1,1,4,0,292,10.1,12.9,99,99,99,999,1009.7,13.4,15,8.7,99,99
2022,1,1,4,10,294,9.8,12.4,99,99,99,999,1009.9,13.4,15,8.4,99,99
2022,1,1,4,20,292,10,12.4,99,99,99,999,1009.8,13.3,15,8.2,99,99
2022,1,1,4,30,287,9.5,12,99,99,99,999,1010,13.3,15,8.2,99,99
2022,1,1,4,40,285,9.7,12.4,3.32,8.33,6.92,292,1010.1,13.4,15,8.1,99,99
2022,1,1,4,50,284,9.3,11.8,99,99,99,999,1010.1,13.4,15,8.2,99,99
2022,1,1,5,0,279,8.9,11.7,99,99,99,999,1010.3,13.4,15,8.6,99,99
2022,1,1,5,10,278,8.5,11,99,99,99,999,1010.3,13.4,15,8.8,99,99
2022,1,1,5,20,278,9.1,12.2,99,99,99,999,1010.5,13.5,14.9,9,99,99
2022,1,1,5,30,280,9,11.4,99,99,99,999,1010.6,13.5,14.9,9,99,99
2022,1,1,5,40,285,9.4,12.1,3.07,9.09,6.77,296,1010.4,13.5,14.9,8.8,99,99
2022,1,1,5,50,282,9.7,12.2,99,99,99,999,1010.5,13.5,15,8.8,99,99
2022,1,1,6,0,278,9.3,12.6,99,99,99,999,1010.6,13.5,14.9,9.1,99,99
2022,1,1,6,10,285,9.6,12.2,99,99,99,999,1010.8,13.5,15,9,99,99
2022,1,1,6,20,287,9.3,11.6,99,99,99,999,1011.1,13.6,14.9,9.4,99,99
2022,1,1,6,30,285,10.3,12.9,99,99,99,999,1011.2,13.4,15,8.8,99,99
2022,1,1,6,40,283,10,12.8,3.55,9.09,7.5,291,1011.2,13.4,15,8.7,99,99
2022,1,1,6,50,284,10,12.4,99,99,99,999,1011.4,13.4,15,8.8,99,99
2022,1,1,7,0,287,9.6,12.6,99,99,99,999,1011.5,13.4,15,8.8,99,99
2022,1,1,7,10,289,9.3,11.3,99,99,99,999,1011.5,13.4,15,8.8,99,99
2022,1,1,7,20,290,8.6,11.2,99,99,99,999,1011.5,13.5,15,8.8,99,99
2022,1,1,7,30,292,8.7,11.3,99,99,99,999,1011.5,13.5,15,8.8,99,99
2022,1,1,7,40,292,9.1,11.8,3.58,10,7.27,297,1011.7,13.5,15,8.7,99,99
2022,1,1,7,50,300,8.8,10.9,99,99,99,999,1011.9,13.6,15,8.6,99,99
2022,1,1,8,0,298,9.1,11.6,99,99,99,999,1012.1,13.6,15,8.6,99,99
2022,1,1,8,10,304,8.5,11.2,99,99,99,999,1012.2,13.7,15,8.5,99,99
2022,1,1,8,20,295,9.1,11.2,99,99,99,999,1012.1,13.6,15,8.2,99,99
2022,1,1,8,30,299,8.3,10.6,99,99,99,999,1012.3,13.6,15,8,99,99
2022,1,1,8,40,297,8.3,10.8,3.4,9.09,7.43,291,1012.2,13.6,15,7.8,99,99
2022,1,1,8,50,296,7.6,10,99,99,99,999,1012.4,13.7,15,8,99,99
2022,1,1,9,0,299,8.3,10.5,99,99,99,999,1012.5,13.6,15,8.3,99,99
2022,1,1,9,10,301,8.2,10.7,99,99,99,999,1012.7,13.6,15,8.5,99,99
2022,1,1,9,20,303,7.3,9.7,99,99,99,999,1012.7,13.6,15,8.4,99,99
2022,1,1,9,30,301,7.7,10.2,99,99,99,999,1012.8,13.6,15,8.7,99,99
2022,1,1,9,40,304,7.6,10,3.28,10,7.42,287,1012.8,13.6,15,8.5,99,99
2022,1,1,9,50,297,7,9.3,99,99,99,999,1012.9,13.6,15,8.6,99,99
2022,1,1,10,0,302,6.6,9.8,99,99,99,999,1013.1,13.5,15,8.4,99,99
2022,1,1,10,10,308,7.1,9.2,99,99,99,999,1013.1,13.6,15,8.6,99,99
2022,1,1,10,20,303,7.2,9.1,99,99,99,999,1013.3,13.6,15,8.4,99,99
2022,1,1,10,30,292,7.5,9.7,99,99,99,999,1013.2,13.5,15,8.2,99,99
2022,1,1,10,40,290,7.1,9.8,3.56,9.09,7.73,285,1013.2,13.6,15,8.2,99,99
2022,1,1,10,50,300,6.9,10,99,99,99,999,1013.4,13.6,15,8.3,99,99
2022,1,1,11,0,285,7.1,9.5,99,99,99,999,1013.2,13.6,15,8,99,99
2022,1,1,11,10,288,6.5,9.1,99,99,99,999,1013.4,13.5,15,8.1,99,99
2022,1,1,11,20,303,5.8,8.1,99,99,99,999,1013.4,13.5,15,8,99,99
2022,1,1,11,30,305,6,8.1,99,99,99,999,1013.5,13.4,15,8.2,99,99
2022,1,1,11,40,295,6.2,8.7,3.47,10.81,7.85,286,1013.4,13.4,15,8.2,99,99
2022,1,1,11,50,299,6.3,8.7,99,99,99,999,1013.5,13.4,15,8.3,99,99
2022,1,1,12,0,287,6.9,8.7,99,99,99,999,1013.4,13.4,15,7.9,99,99
2022,1,1,12,10,283,6.4,9,99,99,99,999,1013.6,13.4,15,8,99,99
2022,1,1,12,20,285,6.7,9.2,99,99,99,999,1013.8,13.4,15,7.7,99,99
2022,1,1,12,30,291,6.3,8.5,99,99,99,999,1014.1,13.3,15,7.6,99,99
2022,1,1,12,40,289,6.1,8.7,2.67,8.33,7.2,289,1014.1,13.3,15,7.5,99,99
2022,1,1,12,50,292,6.2,8,99,99,99,999,1014.1,13.3,15,7.5,99,99
2022,1,1,13,0,289,5.7,7.6,99,99,99,999,1014.2,13.3,15,7.5,99,99
2022,1,1,13,10,292,6.4,8.3,99,99,99,999,1014.5,13.3,15,7.6,99,99
2022,1,1,13,20,296,5.9,7.7,99,99,99,999,1014.7,13.3,15,7.8,99,99
2022,1,1,13,30,301,5.8,7.5,99,99,99,999,1014.7,13.3,15,8.1,99,99
2022,1,1,13,40,295,5.5,8.1,2.61,10,7.22,287,1015,13.3,15,8.1,99,99
2022,1,1,13,50,305,5.3,7.4,99,99,99,999,1015,13.3,15,7.8,99,99
2022,1,1,14,0,311,5,6.7,99,99,99,999,1015.3,13.2,15,7.3,99,99
2022,1,1,14,10,306,4.9,6.6,99,99,99,999,1015.5,13.2,15,7.2,99,99
2022,1,1,14,20,314,4,5.8,99,99,99,999,1015.7,13.3,15,7.2,99,99
2022,1,1,14,30,321,4.1,5.7,99,99,99,999,1015.8,13.3,15,6.9,99,99
2022,1,1,14,40,320,3.5,5,2.71,9.09,7.45,279,1015.8,13.3,15,7.6,99,99
2022,1,1,14,50,322,3,4.8,99,99,99,999,1016,13.2,15,7.6,99,99
2022,1,1,15,0,322,2.2,4,99,99,99,999,1016.2,13.2,15,7,99,99
2022,1,1,15,10,294,1.5,3.5,99,99,99,999,1016.3,13.2,15,7.1,99,99
2022,1,1,15,20,321,1.7,3.4,99,99,99,999,1016.4,13.2,15,7.3,99,99
2022,1,1,15,30,313,1.3,3.2,99,99,99,999,1016.6,13.2,15,7.5,99,99
2022,1,1,15,40,326,1.4,2.7,2.92,10,7.72,287,1016.7,13.3,15,7.6,99,99
2022,1,1,15,50,353,1.3,2.4,99,99,99,999,1016.9,13.3,15,7.6,99,99
2022,1,1,16,0,4,1.8,2.8,99,99,99,999,1017.1,13.4,15,7.8,99,99
2022,1,1,16,10,359,1.8,3.3,99,99,99,999,1017.3,13.5,15,7.8,99,99
2022,1,1,16,20,348,2.4,4,99,99,99,999,1017.4,13.5,15,8,99,99
2022,1,1,16,30,5,2.9,4.1,99,99,99,999,1017.5,13.6,15,8.4,99,99
2022,1,1,16,40,8,2.9,4.3,2.49,10,7.64,287,1017.7,13.6,15,8.4,99,99
2022,1,1,16,50,18,3.1,5,99,99,99,999,1017.8,13.7,15,8.8,99,99
2022,1,1,17,0,48,2.9,4.9,99,99,99,999,1018,13.9,15,8.7,99,99
2022,1,1,17,10,44,3.2,4.8,99,99,99,999,1018.2,13.9,15,8.5,99,99
2022,1,1,17,20,41,2.8,4.2,99,99,99,999,1018.5,13.9,15,8.7,99,99
2022,1,1,17,30,57,3.3,5.5,99,99,99,999,1018.6,14,15,8.9,99,99
2022,1,1,17,40,64,3.7,5.4,2.31,10,7.56,289,1018.7,14.1,15,9,99,99
2022,1,1,17,50,67,3.8,5.7,99,99,99,999,1018.8,14.2,15,8.8,99,99
2022,1,1,18,0,67,4,5.5,99,99,99,999,1019,14.1,15,8.5,99,99
2022,1,1,18,10,69,4.1,6.1,99,99,99,999,1019,14.3,15,8.9,99,99
2022,1,1,18,20,73,4.3,6.5,99,99,99,999,1019,14.2,15,8.6,99,99
2022,1,1,18,30,89,4.6,7,99,99,99,999,1019.1,14.2,15,8.4,99,99
2022,1,1,18,40,106,4.7,7.4,2.43,10,7.71,290,1019.2,14.3,15,9,99,99
2022,1,1,18,50,99,4.3,6.5,99,99,99,999,1019.1,14.2,15,8.1,99,99
2022,1,1,19,0,101,4.6,7,99,99,99,999,1019,14.3,15.1,8,99,99
